
2024/10/11 (00:10:39) | ===> btop++ v.1.4.0
2024/10/11 (00:10:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/11 (00:17:15) | ===> btop++ v.1.4.0
2024/10/11 (00:17:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/11 (00:17:37) | ===> btop++ v.1.4.0
2024/10/11 (00:17:37) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/11 (02:04:03) | ===> btop++ v.1.4.0
2024/10/11 (02:04:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/11 (22:56:17) | ===> btop++ v.1.4.0
2024/10/11 (22:56:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/12 (13:49:13) | ===> btop++ v.1.4.0
2024/10/12 (13:49:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/12 (18:38:59) | ===> btop++ v.1.4.0
2024/10/12 (18:38:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (22:58:50) | ===> btop++ v.1.4.0
2024/10/13 (22:58:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/16 (14:22:53) | ===> btop++ v.1.4.0
2024/10/16 (14:22:53) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/10/16 (14:22:58) | ===> btop++ v.1.4.0
2024/10/16 (14:22:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (16:24:06) | ===> btop++ v.1.4.0
2024/10/18 (16:24:06) | WARNING: Intel GPU: Failed to initialize PMU
